specification,rows_used,cbsas,r.squared,adj.r.squared,sigma,AIC,BIC
Long lead window,1173,209,0.5016164798017216,0.3909223298515305,0.7804342830427625,2940.9693246279376,4030.443092088435
NAICS-safe window,2085,369,0.4651946610537342,0.3486064720257054,0.8070895414848934,5361.071083799541,7477.017634136879
